	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Thu Sep 25 03:07:41 2014

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       8  1334171  2617364  6565206  9332798  8224733  3029528  6309619   3754501   8228672  2861973  2471992  6735075  9287391
            4096      16  1183773  3088901  7802627 10665388  9891647  3624593 16256412   4520059   9874590  3564431  2422154  7502762 10554004
            4096      32  1515406  2174170  7831080 11042425 10586522  3965067  8127459   6706156  11874344  3893185  3199942120302408 10425907
            4096      64  1959873  2605455  8638284 12074641 12194633  4740836  8043741   5674032   8920873  3764373  3663236  84264372200940080
            4096     128  1424201  3593509  8127459 11940367 11982006  4768469  7935986   5792648  10606129  4171080  4471821  8032459 11672647
            4096     256  1734148  3580030  8193352 11477688 11736440  4490523  8224733   5504946  11633127  4059701  3733288  8013724 11281721
            4096     512  1632476  5030994  8586475 11500738 11736440  4952675  7770863   5452532  12487133  6166930  3586757  8093001 13735042
            4096    1024  2313847  2479484  9000323 11252164 11014108  4571782  8127459   5278308  11378861  4125010  3555579  7998800 10394367
            4096    2048  1737831  3543113  9658092 11099499 10528134  4325455  7954358   4437172   9394037  3923414  5025108 21346604  9636422
            4096    4096  1601881  3297602  8013724  8426437  8552280  3911800  6978564   4012295   7038605  3305851  3686820  6944712  8142867
            8192       4  1017137  1984069  6692839  8551866  5265210  2190359  5053047   2749921   5101058  1821656  1868209  5254742  6206817
            8192       8  1431906  2595772  6596471  7515572  7453619  2873415  6350207   4077433   6906749  2213500  2985257  7353127  7515572
            8192      16  1504247  3018299  7105276  8551866  8915794  3336931  7961372   4678737   7481208  2477126  2688596  8551866  8167655
            8192      32  1586336  3293747  7891886  9002223  9753515  3030813  7749491   5403489   7714691  3808521  3321769  9845745  8856046
            8192      64  1688704  3392279  8062248  9309549 10151170  4284894  8079310   5888754   9112041  3955393  3494753  8039611  9194949
            8192     128  1814442  3110096  8234205 10517839  9266865  4435342  8071718   5944791   9614327  3725519  3505092  7968758  8990446
            8192     256  1708776  3462355  7839667  8659632 10995799  4323172  6972624   5516264   8799346  2748162  3797576  8904241  8895021
            8192     512  1690449  3526677  8069823  8257953  9121717  3471099  7870194   5802240  12189466  3720275  3400672  7839667 10721317
            8192    1024  1497364  3512976  8200795  8642207  9246914  3875097  8134781   6131500  11636301  3385260  3230268  7756488  8471741
            8192    2048  1412655  3496531  8463394  8983394  8659632  4126896  6643663   5375591  10853394  4694719  3566579  7656244  7640921
            8192    4096  1718089  3257215  7570215  8309879  5685116  3497955  7816482   4069706   7049878  3737270  5251529  6775991  7199064
            8192    8192  1710903  2811117  5966469  6311712  6009252  3267437  5834754   2730689   8770148  3357474  3343751  6145757  6248582
           16384       4  1084745  2166589  5692559  5410639  4868954  2071810  5947263   2754971   4697224  1993902  1941951  5066386  5806066
           16384       8  1306433  2733384  5239439  6904533  6404540  2928868  6635840   3947851   6924710  2661399  2671019  6930296  7258993
           16384      16  1558306  3148398  5641619  7907146  7832345  3161143  7330229   4989142   7498192  2787264  2804555  6750568  8087683
           16384      32  1592689  3370451  9751862  6437538  8542092  4059561  7996396   4307133   8341963  3426242  3213772  8163585  8498779
           16384      64  1733772  3278162  8568720  8905171  7111015  4049514  8701084   6196634  11848582  4145769  3557128  8102942  8623560
           16384     128  1588492  4161586  8187902  8437214  8511410  3636180  8035668   5479669   8497728  3575637  3561737  8257760  8591217
           16384     256  1737059  3471942  7926299  8501933  8192783  4654590  5634219   6145651   9309304  3531717  3619137  8453822  6255866
           16384     512  1663998  3743134  8176212  8332859  8354133  4073519  8150997   5589764   8304663  3509174  3677629  7964884  6684250
           16384    1024  1662830  3675269  8574066  8890194  8595515  3866116  8187902   5732926  12488079  3098988  2798730  8237961  8316724
           16384    2048  1862023  3578802  6503950 11417460  8363283  3828851  8138448   5858035  11465082  3086600  2841431  8070586 10570916
           16384    4096  1575527  3232214  7220855  7843072  8992570  3644279  6649324   4402891   7688629  3299885  3245648  5516621  6622411
           16384    8192  1686127  2679769  6832452  4753105  6138514  3068134  5868040   3500772   5498083  3435491  4667870  5874059  5947263
           16384   16384  1500104  2935625  4561287  6507029  5108948  3115426  5559465   2907554   5724807  3362206  3341605  6611579  5447093
           32768      64  1642674  3429388  8894685  9026711  7140499  4172174  8680095   6063713   8801835  3768671  3436591  7986083  9107462
           32768     128  1736967  3613979  8167372  8384613  7368272  4286153  8502357   6142027   8555815  3596955  3619595  9309181  9076787
           32768     256  1728904  3618737  7990262  8312602  8916613  3904204  7852395   6295354   8323173  3616357  3521204  7887998  7837171
           32768     512  1717669  3605258  9464967  7670095  6444120  4461897  8344397   5624260   7097357  3352594  3182871  8393318  8836923
           32768    1024  1823503  3679382  8447485  9240335  8696022  3836632  9153561   6037874   8616427  2993347  3009866  8369805  6989793
           32768    2048  1779034  3432300  8515527  8984813  8607253  4235823  8296044   5805773   8980117  2898772  2877470  8327208  8899293
           32768    4096  1688381  3037740  7495250  7757547  6948448  3662811  6773125   3906534   7717471  2785446  2772970  6480888  6741233
           32768    8192  1579634  2964039  5423408  6047970  5786463  3346716  5525005   3441669   5892394  3254009  3284021  5927719  5809700
           32768   16384  1577875  3005456  5354318  6045576  5102463  3385462  5755928   3453603   5165944  3867292  4682629  5642964  5366443
           65536      64  1690289  3581013  8317835  9036743  8797836  3909079  8655989   5998714   9799287  3487466  3477670  8677850  9163267
           65536     128  1676291  3821527  7425358  8935978  8093974  4287610  7483783   6354117   8729939  3593560  3407824  9473058  8966293
           65536     256  1756006  3596522  7325817  8239546  7715480  4057429  8325141   6063152   9467838  3598311  3606810  8446397  8626650
           65536     512  1783684  3675584  7472796  8057909  7987431  4084014  9170910   5922330   8121956  3280408  3186000  8609357  8289490
           65536    1024  1766989  3646136  8182885  8688273  8147232  4223250  8265312   5831120   8171452  2896628  2831434  8139271  7809296
           65536    2048  1739878  3667395  8570168  8885141  7978389  4150741  7565140   5650714   8250675  2771091  2707548  8768649  8581405
           65536    4096  1641642  3186000  6767423  7017417  7009186  3705312  6672959   4070588   7256007  2722835  2714741  6623116  7788055
           65536    8192  1641897  3027062  5435935  5433249  5591858  3393394  5887195   3477978   5945387  2855731  2682264  5496150  5240380
           65536   16384  1609036  3003480  5612868  6025275  5917485  3342476  5914811   3527974   5316910  3126568  3098200  6129947  5753857
          131072      64  1711233  3779460  8666469  8812193  8057060  3991089  8565735   6284589   8507280  3665507  3568619  7333910  8454035
          131072     128  1731330  3813675  6798708  8033277  8477631  4172662  8041150   6308821   8572948  3608604  3640578  7901082  8761494
          131072     256  1755680  3810899  8083359  8032808  7457470  4188430  8027530   5954326   8147209  3679737  3638867  8008702  7798640
          131072     512  1812486  3814442  8384922  7405135  8282597  4206151  7752997   5781255   8329531  3395130  3075371  8206804  8776881
          131072    1024  1762078  3854937  8865198  8532764  8628925  4140887  8149141   5876045   8946275  2974389  2882229  8142623  7509114
          131072    2048  1763587  3761462  7643054  8071491  9033299  4127611  8067464   5755050   8518881  2784140  2658383  7721093  7732387
          131072    4096  1692255  3188953  7258766  6940852  7387224  3662138  7110339   4341269   7128871  2573886  2509282  6878671  6689019
          131072    8192  1640695  3072277  5643568  5401688  5597541  3437052  5578683   3568433   5575853  2548448  2679372  5611424  5549456
          131072   16384  1638114  3045843  5500318  5918237  5712650  3467598  5536546   3389332   5467715  2795665  2645845  5538386  5505386
          262144      64  1514758  1979775  8724149  9057245  8204587  3649300  8806533   6146547   8919770  3244643  1939123  8762319  8789145
          262144     128  1588550  1984632  8648459  8534473  7950721  3762335  8827887   6150707   8685762  3364665  1923467  8157352  8515041
